idNum,invitationId,sekerID,device,useragent,startTime,endTime,totime,crq,clq,stat,tnay,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q5_13,q6,q7_1,q7_2,q7_3,q7_4,q7_5,q8,q9,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_tv6,q11,q12,q13,q14,userId,sex,byear,fstat,kids,rel,relid,nafa,ses,edu,osek,cbor,cborfa,cborma,alyayear,ykid,okid,svote,vote2022
13,120921116,422731,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:07:41 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348173,2,2007,1,0,1,3,1,6,4,1,IL,IL,IL,0,0,0,1,16
14,120921038,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:07:51 pm,6/22/2025 3:12:45 pm,294,15,0,1,1,1,1,3,2,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,3,3,0,0,0,1,0,0,,1,1,5,4,95332,1,1952,2,3,1,1,4,5,7,15,IL,RU,RO,0,1987,1979,2,4
15,120921178,422733,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:08:28 pm,6/22/2025 3:10:36 pm,128,14,0,1,1,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,1,2,1,1,0,0,0,1,0,,2,2,2,5,292699,2,1997,1,0,1,3,4,4,12,3,IL,IL,IL,0,0,0,1,3
16,120920895,422725,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:08:28 pm,6/22/2025 3:12:18 pm,230,14,0,1,1,1,4,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,3,3,1,1,0,0,1,0,,3,2,4,5,343739,1,1985,2,2,1,2,3,5,6,5,IL,IL,IL,0,2021,2020,1,1
17,120921045,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:09:18 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257217,1,1954,2,3,1,1,3,5,9,15,IL,IL,IL,0,1990,1985,3,4
18,120921202,422733,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",6/22/2025 3:09:40 pm,6/22/2025 3:14:36 pm,296,14,0,1,1,2,4,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,1,0,0,0,3,3,1,0,0,0,0,0,,2,1,1,5,384229,2,2000,1,0,1,1,2,1,5,5,IL,IL,IL,0,0,0,2,3
19,120921096,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:09:41 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91172,1,1951,2,4,1,3,3,1,3,15,MA,MA,MA,1955,1982,1972,1,1
20,120921014,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:09:54 pm,6/22/2025 3:14:40 pm,286,14,0,1,1,1,4,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,2,0,1,0,0,0,0,,4,2,2,5,173761,1,1954,3,2,1,1,5,3,11,15,IL,PL,IL,0,0,1978,5,11
21,120921081,422728,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:09:58 pm,6/22/2025 3:12:31 pm,153,14,0,1,1,2,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,3,0,0,0,0,1,0,,1,2,5,4,363617,1,1956,2,2,1,2,6,2,3,5,GE,GE,GE,1970,1991,1985,1,1
22,120921058,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:10:13 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80493,1,1959,2,3,1,1,6,2,9,5,IL,CZ,IL,0,2000,1995,1,1
23,120920829,422725,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:10:55 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358046,1,1988,2,2,1,2,6,4,9,5,IL,HU,HU,1965,2024,2021,2,7
24,120921088,422728,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:11:17 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74410,1,1949,2,3,1,1,5,5,7,5,IQ,IQ,IQ,1951,1981,1979,4,2
25,120921018,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:11:20 pm,,,3,0,4,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235811,1,1945,2,4,1,3,2,3,5,15,IL,BE,DE,0,1985,1973,1,3
26,120921053,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:11:47 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112617,1,1953,2,0,1,1,4,1,9,5,IL,GR,IL,0,2000,2000,2,4
27,120921376,422736,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:04 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338765,2,1976,2,2,1,1,4,2,7,8,IL,IL,IL,0,2019,2008,4,2
28,120921457,422737,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:30 pm,6/22/2025 3:17:36 pm,306,14,0,1,1,1,3,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,3,3,1,0,0,0,1,0,,2,3,2,4,93585,2,1964,2,2,1,1,4,3,9,5,UA,UA,UA,1994,2001,1993,4,2
29,120920840,422725,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:39 pm,6/22/2025 3:14:15 pm,96,14,0,1,1,2,2,3,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,4,2,1,0,1,0,0,0,,2,2,3,4,91208,1,1985,2,3,1,3,4,4,9,5,IL,US,AR,0,2021,2017,1,13
30,120921545,422738,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:45 pm,6/22/2025 3:24:50 pm,725,14,0,1,1,1,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,3,1,0,1,0,0,0,,3,2,2,3,335238,2,1956,2,4,1,2,4,5,2,15,IL,MA,MA,0,1984,1977,1,1
31,120921526,422738,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:12:50 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351694,2,1952,4,2,1,1,6,1,11,15,UA,0,0,1990,1981,1975,4,2
32,120921078,422728,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:50 pm,6/22/2025 3:15:44 pm,174,14,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,3,3,0,1,0,0,0,0,,2,3,2,1,342765,1,1942,2,6,1,2,1,1,3,15,MA,MA,MA,1963,1996,1986,2,1
33,120921578,422738,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",6/22/2025 3:12:54 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289324,2,1951,2,2,1,1,3,6,7,15,UA,UA,UA,1995,1985,1977,3,15
34,120921588,422738,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",6/22/2025 3:13:16 pm,6/22/2025 3:17:35 pm,259,14,0,1,1,1,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,3,3,0,1,0,0,0,0,,4,2,2,4,244054,2,1959,3,4,1,3,6,5,9,5,IL,IQ,IR,0,1988,1982,1,1
35,120921388,422736,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.51 Mobile/15E148 Safari/604.1",6/22/2025 3:13:31 pm,6/22/2025 3:16:55 pm,204,14,0,1,1,2,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,2,3,1,0,0,0,0,0,,3,4,2,4,336971,2,1980,2,0,1,1,5,4,3,12,IL,RO,IL,1955,0,0,3,4
36,120921528,422738,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:13:38 pm,,,3,0,4,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215886,2,1954,3,1,1,1,4,1,9,15,IL,DE,IL,0,1979,1979,3,2
37,120921091,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:13:58 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125407,1,1953,2,3,1,1,1,4,9,15,AR,AR,AR,1962,1992,1988,3,4
38,120920899,422726,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:14:07 pm,6/22/2025 3:21:46 pm,459,14,0,1,1,2,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,2,1,0,0,0,0,0,,4,3,5,3,149971,1,1978,3,2,1,1,4,2,8,12,IL,TN,IL,0,2011,2010,1,1
39,120921024,422728,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:14:09 pm,6/22/2025 3:16:58 pm,169,14,0,1,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,3,3,1,1,0,0,0,0,,2,2,2,4,74600,1,1959,2,3,1,1,5,6,9,12,IL,IQ,IQ,0,1991,1984,1,1
40,120921074,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",6/22/2025 3:14:53 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141604,1,1959,3,0,1,1,5,1,5,5,IL,IQ,IQ,0,0,0,1,1
41,120920828,422724,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:14:55 pm,6/22/2025 3:18:48 pm,233,14,0,1,1,1,3,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,4,3,0,0,0,0,1,0,,3,4,5,5,278730,1,1991,1,0,1,2,3,1,6,6,IL,HU,IL,0,0,0,1,1
42,120921230,422734,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/365.1.750410080 Mobile/15E148 Safari/604.1",6/22/2025 3:15:31 pm,6/22/2025 3:18:13 pm,162,15,0,1,1,2,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,4,0,1,1,0,1,1,2,1,0,0,0,0,0,,1,2,2,4,275472,2,1991,2,3,1,2,4,3,4,5,IL,IL,IN,1974,2019,2017,1,1
43,120921530,422738,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",6/22/2025 3:15:33 pm,6/22/2025 3:18:19 pm,166,14,0,1,1,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,3,0,0,0,1,0,0,,2,2,2,4,114389,2,1958,2,3,1,2,4,6,9,5,IL,IR,IR,0,1989,1982,1,1
44,120921092,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:15:39 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339717,1,1957,2,6,1,3,4,5,11,5,IL,0,0,0,1992,1977,1,3
45,120921591,422738,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:16:17 pm,6/22/2025 3:19:48 pm,211,14,0,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,4,3,0,0,0,1,0,0,,1,1,2,2,62148,2,1951,2,3,1,1,5,3,7,15,RO,RO,RO,1961,1983,1980,1,4
46,120921026,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:17:15 pm,6/22/2025 3:19:40 pm,145,14,0,1,1,1,3,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,3,3,0,1,0,0,0,0,,4,2,2,4,73836,1,1959,2,5,1,3,6,5,11,8,IL,PL,US,0,1997,1986,1,3
47,120921012,422728,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1",6/22/2025 3:17:22 pm,6/22/2025 3:25:25 pm,483,14,0,1,1,2,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,1,3,0,1,0,0,0,0,,1,2,2,4,159694,1,1952,2,3,1,2,4,1,7,15,IL,TR,TR,0,1992,1982,2,2
48,120921051,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:17:53 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94523,1,1957,2,2,1,1,4,4,9,5,IL,IL,IL,0,1988,1986,3,2
49,120921544,422738,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",6/22/2025 3:18:02 pm,6/22/2025 3:21:42 pm,220,14,0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,1,1,1,4,3,0,0,0,1,0,0,,3,3,5,1,310814,2,1956,2,6,1,2,1,1,9,15,IL,MA,MA,0,1996,1987,2,1
50,120921505,422738,2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",6/22/2025 3:18:15 pm,6/22/2025 3:24:34 pm,379,14,0,1,1,1,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,3,1,1,0,1,1,3,3,1,0,0,0,0,0,,2,3,2,5,93587,2,1957,2,3,1,2,6,4,6,12,PL,PL,RU,1960,2001,1997,2,2
51,120921596,422738,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:18:19 pm,6/22/2025 3:21:30 pm,191,14,0,1,1,1,3,3,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,3,1,0,0,0,0,0,,1,2,2,5,197654,2,1960,2,3,1,1,2,3,11,5,LV,BY,RU,1974,1994,1985,3,2
52,120920796,422724,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1",6/22/2025 3:18:23 pm,6/22/2025 3:21:43 pm,200,14,0,1,1,2,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,2,1,1,0,0,0,0,0,,3,3,2,5,300081,1,1993,2,0,1,1,4,4,11,12,IL,IL,IL,0,0,0,2,14
53,120921109,422731,2,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",6/22/2025 3:18:45 pm,6/22/2025 3:21:22 pm,157,14,0,1,1,2,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,1,4,1,1,0,0,0,0,0,,4,2,2,5,349038,2,2006,1,0,1,1,3,2,5,5,IL,IL,IL,0,0,0,2,16
54,120921076,422728,1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:19:23 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201629,1,1958,2,2,1,1,4,2,9,15,AR,PL,UA,1989,1988,1985,5,11
55,120920902,422726,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",6/22/2025 3:19:48 pm,6/22/2025 3:26:37 pm,409,14,0,1,1,1,4,1,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,3,3,0,1,0,0,1,0,,2,3,2,3,66869,1,1974,2,1,1,1,4,6,11,12,RU,RU,RU,1993,2002,2002,9,14
56,120921090,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:20:04 pm,,,1,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75017,1,1952,2,2,1,1,5,2,7,15,IL,BG,BG,0,1983,1981,4,2
57,120921094,422728,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",6/22/2025 3:20:16 pm,6/22/2025 3:24:30 pm,254,14,0,1,1,2,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,2,1,0,0,0,1,0,0,,2,2,5,5,68177,1,1956,2,3,1,1,4,4,9,8,IL,HU,AT,0,1993,1987,4,11
58,120921589,422738,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",6/22/2025 3:20:29 pm,6/22/2025 3:24:20 pm,231,14,0,1,1,2,3,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,1,3,0,0,0,1,0,0,,4,1,2,3,134968,2,1949,2,2,1,1,4,2,3,5,LT,LT,PL,1957,1979,1975,3,14
